year,patent_applications,GDP_current_USD,GDP_per_person_employed_2017_PPP_usd,population_total,agriculture_perc_GDP,industry_perc_GDP,services_perc_GDP,emp_agriculture_perc,emp_industry_perc,emp_services_perc,aid_current_usd,businesses_registered_number,FDI_net_inflows_current_usd,doing_business_index
1960,,37029883875.00,,450547679.00,41.31,20.83,38.78,,,,729630004.90,,,
1961,,39232435784.00,,459642165.00,40.39,21.43,38.33,,,,616590026.90,,,
1962,,42161481859.00,,469077190.00,38.37,22.05,39.94,,,,677270019.50,,,
1963,,48421923459.00,,478825608.00,39.32,21.88,38.10,,,,977440002.40,,,
1964,,56480289941.00,,488848135.00,41.19,20.96,36.34,,,,1216010010.00,,,
1965,,59554854575.00,,499123324.00,38.95,21.66,37.45,,,,1284199951.00,,,
1966,,45865462034.00,,509631500.00,40.03,21.39,36.46,,,,1249699951.00,,,
1967,,50134942203.00,,520400576.00,42.77,20.09,34.61,,,,1382119995.00,,,
1968,,53085455871.00,,531513824.00,41.63,20.63,35.05,,,,924409973.10,,,
1969,,58447995017.00,,543084336.00,41.36,21.42,34.31,,,,905260009.80,,,
1970,,62422483055.00,,555189792.00,39.93,21.73,35.05,,,,824659973.10,,45460000.00,
1971,,67350988021.00,,567868018.00,38.10,22.39,35.80,,,,1002400024.00,,47660000.00,
1972,,71463193830.00,,581087256.00,38.02,22.41,35.52,,,,613900024.40,,17790000.00,
1973,,85515269586.00,,594770134.00,41.16,21.35,32.95,,,,778710022.00,,37910000.00,
1974,,99525899116.00,,608802600.00,38.20,22.68,33.61,,,,1230400024.00,,56970000.00,
1975,,98472796457.00,,623102897.00,35.27,23.20,35.14,,,,1605189941.00,,-10326246.71,
1976,,103000000000.00,,637630087.00,33.44,24.48,35.80,,,,1744609985.00,,-7706430.54,
1977,,121000000000.00,,652408776.00,34.95,24.40,34.66,,,,988809997.60,,-36060000.00,
1978,,137000000000.00,,667499806.00,33.16,25.32,34.94,,,,1131150024.00,,18090000.00,
1979,,153000000000.00,,682995354.00,31.28,25.99,35.52,,,,1363189941.00,,48570000.00,
1980,1207.00,186000000000.00,,698952844.00,33.06,25.34,33.81,,,,2185959961.00,,79160000.00,
1981,1067.00,193000000000.00,,715384993.00,31.72,26.10,33.87,,,,1972469971.00,,91920000.00,
1982,1128.00,201000000000.00,,732239504.00,30.57,26.15,34.90,,,,1635750000.00,,72080000.00,
1983,,218000000000.00,,749428958.00,31.32,26.30,34.52,,,,1830510010.00,,5640000.00,
1984,1003.00,212000000000.00,,766833410.00,30.15,26.74,35.42,,,,1665939941.00,,19240000.00,
1985,982.00,233000000000.00,,784360008.00,28.64,26.63,36.11,,,,1587010010.00,,106090000.00,
1986,999.00,249000000000.00,,801975244.00,27.47,26.73,36.99,,,,1989939941.00,,117730000.00,
1987,988.00,279000000000.00,,819682102.00,26.88,26.70,37.45,,,,1695479980.00,,212320000.00,
1988,1033.00,297000000000.00,,837468930.00,27.98,26.71,36.80,,,,1947650024.00,,91250000.00,
1989,1048.00,296000000000.00,,855334678.00,26.92,27.55,37.23,,,,1766109985.00,,252100000.00,
1990,1147.00,321000000000.00,,873277798.00,26.90,27.45,37.04,,,,1395000000.00,,236690000.00,
1991,1267.00,270000000000.00,5216.66,891273209.00,27.33,26.44,37.79,62.56,15.72,21.72,2733520020.00,,73537638.39,
1992,1248.00,288000000000.00,5379.93,909307016.00,26.67,26.79,37.91,62.41,15.68,21.91,2425139893.00,,276512439.00,
1993,1209.00,279000000000.00,5509.45,927403860.00,26.88,26.78,38.49,62.27,15.56,22.17,1466290039.00,,550370024.90,
1994,1588.00,327000000000.00,5734.01,945601831.00,26.39,27.63,37.50,62.18,15.43,22.40,2322320068.00,,973271468.70,
