Year,"Patent applications, residents",GDP (current US$),GDP per person employed (constant 2017 PPP $),"Population, total","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)","Services, value added (% of GDP)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),Net official development assistance and official aid received (current US$),New businesses registered (number),"Foreign direct investment, net inflows (BoP, current US$)",Ease of doing business index (1=most business-friendly regulations)
1960,,37029883875,,450547679,41.31283906,20.83434345,38.78246176,,,,729630004.9,,,
1961,,39232435784,,459642165,40.38740161,21.43484397,38.3258752,,,,616590026.9,,,
1962,,42161481859,,469077190,38.3713352,22.05260014,39.93584497,,,,677270019.5,,,
1963,,48421923459,,478825608,39.31975131,21.87947583,38.0951803,,,,977440002.4,,,
1964,,56480289941,,488848135,41.18773833,20.95528854,36.34082146,,,,1216010010,,,
1965,,59554854575,,499123324,38.95214348,21.65510507,37.4507382,,,,1284199951,,,
1966,,45865462034,,509631500,40.02544761,21.38661717,36.45979666,,,,1249699951,,,
1967,,50134942203,,520400576,42.76762174,20.08944288,34.60955551,,,,1382119995,,,
1968,,53085455871,,531513824,41.63355064,20.62711566,35.05413136,,,,924409973.1,,,
1969,,58447995017,,543084336,41.35834331,21.41748463,34.30585261,,,,905260009.8,,,
1970,,62422483055,,555189792,39.9278062,21.72930929,35.04687086,,,,824659973.1,,45460000,
1971,,67350988021,,567868018,38.0997785,22.39200791,35.80364908,,,,1002400024,,47660000,
1972,,71463193830,,581087256,38.01772227,22.40800259,35.52165492,,,,613900024.4,,17790000,
1973,,85515269586,,594770134,41.1620452,21.34823029,32.94770561,,,,778710022,,37910000,
1974,,99525899116,,608802600,38.19969328,22.6756934,33.61059595,,,,1230400024,,56970000,
1975,,98472796457,,623102897,35.26950135,23.20125208,35.13924139,,,,1605189941,,-10326246.71,
1976,,1.02717E+11,,637630087,33.44297129,24.48052342,35.80372322,,,,1744609985,,-7706430.543,
1977,,1.21487E+11,,652408776,34.94772597,24.40026254,34.66144961,,,,988809997.6,,-36060000,
1978,,1.373E+11,,667499806,33.16003828,25.32441962,34.93936473,,,,1131150024,,18090000,
1979,,1.52992E+11,,682995354,31.28095945,25.99220623,35.52141473,,,,1363189941,,48570000,
1980,1207,1.86325E+11,,698952844,33.05748473,25.33624589,33.80725874,,,,2185959961,,79160000,
1981,1067,1.93491E+11,,715384993,31.71514239,26.10291921,33.87161864,,,,1972469971,,91920000,
1982,1128,2.00715E+11,,732239504,30.57047008,26.14980479,34.89683728,,,,1635750000,,72080000,
1983,,2.18262E+11,,749428958,31.32414522,26.29884329,34.52160063,,,,1830510010,,5640000,
1984,1003,2.12158E+11,,766833410,30.14679253,26.73913865,35.42081609,,,,1665939941,,19240000,
1985,982,2.32512E+11,,784360008,28.63528435,26.62907122,36.11499977,,,,1587010010,,106090000,
1986,999,2.48986E+11,,801975244,27.4687606,26.73083582,36.98846784,,,,1989939941,,117730000,
1987,988,2.79034E+11,,819682102,26.88407028,26.69923652,37.45227949,,,,1695479980,,212320000,
1988,1033,2.96589E+11,,837468930,27.98222891,26.71158382,36.7964455,,,,1947650024,,91250000,
1989,1048,2.96042E+11,,855334678,26.91794315,27.55099348,37.22939798,,,,1766109985,,252100000,
1990,1147,3.20979E+11,,873277798,26.89643825,27.4536955,37.04478519,,,,1395000000,,236690000,
1991,1267,2.70105E+11,5216.655915,891273209,27.33321814,26.44172018,37.78569002,62.56200027,15.72000027,21.71699905,2733520020,,73537638.39,
1992,1248,2.88208E+11,5379.934625,909307016,26.66977197,26.79274327,37.91256818,62.40999985,15.68299961,21.90699959,2425139893,,276512439,
1993,1209,2.79296E+11,5509.451002,927403860,26.88180084,26.78155428,38.49068492,62.27399826,15.56000042,22.16600037,1466290039,,550370024.9,
1994,1588,3.27276E+11,5734.005485,945601831,26.38861888,27.62820125,37.49630234,62.1780014,15.42500019,22.39699936,2322320068,,973271468.7,
1995,1545,3.60282E+11,6031.670381,963922588,24.45685527,28.59980942,37.84966812,61.88399887,15.3760004,22.73999977,1732829956,,2143628110,
1996,1661,3.92897E+11,6350.372171,982365243,25.41703075,27.91227037,37.70932947,61.70100021,15.31200027,22.98699951,1904150024,,2426057022,
1997,1926,4.15868E+11,6464.421502,1000900030,24.34535709,27.83703076,39.07955152,61.04600143,15.79399967,23.15999985,1646250000,,3577330042,
1998,2247,4.21351E+11,6714.626239,1019483581,24.37882105,27.30303785,40.13256873,60.67399979,15.94499969,23.38100052,1608949951,,2634651658,
1999,2206,4.5882E+11,7153.136873,1038058156,22.98896098,26.51929335,41.96573779,60.17300034,16.10700035,23.71999931,1490760010,,2168591054,
2000,2206,4.68395E+11,7264.173246,1056575549,21.60895747,27.32582838,42.73292664,59.64500046,16.31999969,24.03499985,1383420044,,3584217307,
2001,2379,4.85441E+11,7428.878186,1075000085,21.62050461,26.48777734,43.80896126,59.2859993,16.32999992,24.38400078,1729609985,,5128093562,
2002,2693,5.14938E+11,7527.14142,1093317189,19.5366997,27.66065416,44.72882755,58.70899963,16.62199974,24.66799927,1738209961,,5208967106,
2003,3425,6.07699E+11,7919.757995,1111523144,19.58060679,27.47410712,44.70464565,58.24300003,16.8029995,24.95299911,720900024.4,,3681984671,
2004,4014,7.09149E+11,8333.445206,1129623456,17.81469065,29.21910631,44.11485897,56.73400116,18.31399918,24.95199966,778309997.6,,5429250990,
2005,4721,8.20382E+11,8769.436424,1147609927,17.62020695,29.53376419,44.44293292,55.9980011,18.80400085,25.19799995,1875959961,,7269407226,
2006,5686,9.4026E+11,9409.238097,1165486291,16.80944209,30.92723994,44.04323571,55.1629982,19.30900002,25.52799988,1383579956,49721,20029119267,116
2007,6296,1.21674E+12,10061.08233,1183209472,16.75011976,30.90323825,44.00815792,53.93399811,20.36599922,25.70100021,1329209961,62919,25227740887,134
2008,6425,1.1989E+12,10310.99599,1200669765,16.79094236,31.13671924,45.88254991,52.57799911,21.44000053,25.98200035,2011579956,70303,43406277076,120
2009,7262,1.34189E+12,11095.77333,1217726215,16.74427016,31.12137211,45.98488281,52.44800186,21.1779995,26.37299919,2456610107,60813,35581372930,122
2010,8853,1.67562E+12,11983.30103,1234281170,17.02650901,30.72507823,45.03374956,51.51499939,21.80900002,26.6760006,2831340088,86645,27396885034,133
2011,8841,1.82305E+12,12593.51864,1250288729,17.19197043,30.16167771,45.4421427,48.98099899,23.49300003,27.52599907,3270219971,97405,36498654598,134
2012,9553,1.82764E+12,13257.58517,1265782790,16.84537707,29.3985277,46.3011473,47.00400162,24.35499954,28.64100075,1681849976,103078,23995685014,132
2013,10669,1.85672E+12,13967.27109,1280846129,17.14842354,28.40489956,46.69871477,46.35599899,24.5510006,29.09300041,2456340088,91841,28153031270,132
2014,12040,2.03913E+12,14849.56281,1295604184,16.79193451,27.6564012,47.82241376,45.8409996,24.54999924,29.60899925,2991820068,69841,34576643694,134
2015,12579,2.10359E+12,15885.84933,1310152403,16.17450839,27.34739144,47.78374805,45.67399979,24.05900002,30.2670002,3174350098,80546,44009492130,142
2016,13199,2.2948E+12,17038.29658,1324509589,16.36380044,26.61899997,47.74940134,45.14300156,23.9829998,30.87400055,2678889893,93714,44458571546,130
2017,14961,2.65275E+12,18081.0148,1338658835,16.3578103,26.47880966,47.89239126,44.05400085,24.6989994,31.24699974,3198389893,108074,39966091359,130
2018,16289,2.71317E+12,19036.12075,1352617328,15.40672606,26.12787514,48.81249493,43.32899857,24.9489994,31.72200012,2453979980,123942,42117450737,100
2019,,2.87514E+12,19729.31146,1366417754,15.96459824,24.88100771,49.87749534,42.38499832,25.57699966,32.0379982,,,50605327354,77
2020,,,,,,,,,,,,,,63
