"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5859.13986224073","6028.41475772931","5794.80921612591","6148.20559671424","6318.5101056635","7056.17416687816","7213.89488567841","8627.6939849039","9623.81890778517","9245.21780396542","9908.14877396909","9942.37847950524","9696.62756424997","9364.77033621468","9178.03765128497","9048.19117376565","8857.98008563821","8809.37841242059",
"Angola","AGO","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14317.9252599641","13058.4754215801","9596.44982732163","9415.57668803419","10488.0720864967","11548.9816698533","11997.4482108182","12152.4826748212","12008.8547097044","11957.1101849174","12057.1243223154","13267.7938971176","13201.4331237964","14141.2814500947","15693.4108789832","16884.6586077307","18555.3046777661","19877.1219753867","19336.5958895493","20749.4393432418","20249.8608190551","21212.9343549818","21481.8709971259","21709.5944467017","21130.7630861431","19859.5749503113","19129.3577677796","18082.2051011658","17275.7223977923",
"Albania","ALB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9788.72110065693","9152.25277165727","10227.7577514627","11272.2772779587","13046.5832838846","14292.7018476269","12587.6409662369","13755.7651150593","15656.9031154925","16793.0165222476","18359.991333309","19229.8972674149","20497.2819811321","21830.6150310544","23267.6450183413","24786.4593675563","26467.6934136354","27791.8483694926","29112.9572664163","30350.7562508138","30184.3161133985","29832.6733553653","32882.9459350801","33513.9414869701","32667.2064512676","32673.0141857061","32982.0600736296","33743.2832537063","34594.3690037893",
"Andorra","AND","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39294.7795470007","40635.0373149559","40650.3009040318","40310.124514413","39979.5158702762","40396.4843778458","40767.7417309353","41939.8344786056","41283.7953695173","42477.0923268033","42125.66646167","41371.1941541716","42093.8054347548","43757.5918473365","44620.1111788684","45392.1107382809","45471.354238958","46489.2897655306","45197.0770863981","45686.4599029778","46683.4699144753","48212.7993583658","48254.8965931237","48603.8358340144","49567.7953640281","50252.0139883507","50576.9464549093","50731.8641592768","50433.870650462",
"United Arab Emirates","ARE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211759.244487321","203152.31002462","191028.91135173","189943.941040965","189448.809071574","191197.68217485","195935.14330464","185418.847139181","179665.363505682","186647.559523279","175962.070696573","167439.980895544","166647.260036555","162104.555700079","146257.355253263","134778.349682406","115272.767827743","100574.423629416","83689.5404981362","77449.5046882766","79557.4019989994","81824.7513170662","85934.6029111158","89432.7558015306","93309.0185510047","95717.7762203845","97880.5155544215","97686.0401794442","98168.3085032758",
"Argentina","ARG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38424.1690759114","41019.712063567","45218.3536897527","47786.1256373438","49874.431339431","50538.5912738304","51972.5961242152","51638.7141471374","50075.809980338","49491.1647149292","48061.0956832546","43841.0544814851","44299.7428679325","46195.6140694123","48727.3069494135","50906.7302007954","54452.0586779559","56200.5815047143","52313.9209138838","57048.7090823059","59041.7248672069","57794.6707153277","58608.8995106993","57005.3171557367","57800.1898564132","55770.1486358002","56517.7714038405","54247.3512460861","52839.9246007389",
"Armenia","ARM","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11700.2847309947","6975.44706327485","6785.59371524816","7464.43550969589","8193.68505415978","9066.96312547941","9622.1374882268","10219.8676521981","10805.6198572595","11460.0153647832","12518.7300168551","14147.6127295257","16090.3758626402","17703.9799680615","20042.4395906042","22562.4207877054","25480.4318181104","28298.2900450216","25581.4952087862","25179.0762996023","25565.0216518124","26841.7260627777","27168.3614554446","28856.9520814087","30357.8151119253","30750.2643098736","33254.007707922","34910.0021663485","37320.8939271347",
"American Samoa","ASM","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
